name,iter_num,0.001,0.005,0.01,0.05
"permutation test, mean stat",22,0,0,0,0
"bootstrap, percentile method",22,0,0,0,0
"bootstrap, basic method",22,0,0,0,0
"bootstrap, bca method",22,0,0,0,0
z-test,23,0,0,0,0
"t-test, equal var = true",23,0,0,0,0
"t-test, equal var = false",23,0,0,0,0
"permutation test, mean stat",23,0,0,0,0
"bootstrap, percentile method",23,0,0,0,0
"bootstrap, basic method",23,0,0,0,0
"bootstrap, bca method",23,0,0,0,0
z-test,24,0,0,0,0
"t-test, equal var = true",24,0,0,0,0
"t-test, equal var = false",24,0,0,0,0
"permutation test, mean stat",24,0,0,0,0
"bootstrap, percentile method",24,0,0,0,0
"bootstrap, basic method",24,0,0,0,0
"bootstrap, bca method",24,0,0,0,0
z-test,25,0,0,0,0
"t-test, equal var = true",25,0,0,0,0
"t-test, equal var = false",25,0,0,0,0
"permutation test, mean stat",25,0,0,0,0
"bootstrap, percentile method",25,0,0,0,0
"bootstrap, basic method",25,0,0,0,0
"bootstrap, bca method",25,0,0,0,0
z-test,26,0,0,0,0
"t-test, equal var = true",26,0,0,0,0
"t-test, equal var = false",26,0,0,0,0
"permutation test, mean stat",26,0,0,0,0
"bootstrap, percentile method",26,0,0,0,0
"bootstrap, basic method",26,0,0,0,0
"bootstrap, bca method",26,0,0,0,0
z-test,27,0,0,0,0
"t-test, equal var = true",27,0,0,0,0
"t-test, equal var = false",27,0,0,0,0
"permutation test, mean stat",27,0,0,0,0
"bootstrap, percentile method",27,0,0,0,0
"bootstrap, basic method",27,0,0,0,0
"bootstrap, bca method",27,0,0,0,0
z-test,28,0,0,0,0
"t-test, equal var = true",28,0,0,0,0
"t-test, equal var = false",28,0,0,0,0
"permutation test, mean stat",28,0,0,0,0
"bootstrap, percentile method",28,0,0,0,0
"bootstrap, basic method",28,0,0,0,0
"bootstrap, bca method",28,0,0,0,0
z-test,29,0,0,0,0
"t-test, equal var = true",29,0,0,0,0
"t-test, equal var = false",29,0,0,0,0
"permutation test, mean stat",29,0,0,0,0
"bootstrap, percentile method",29,0,0,0,0
"bootstrap, basic method",29,0,0,0,0
"bootstrap, bca method",29,0,0,0,0
z-test,30,0,0,0,0
"t-test, equal var = true",30,0,0,0,0
"t-test, equal var = false",30,0,0,0,0
"permutation test, mean stat",30,0,0,0,0
"bootstrap, percentile method",30,0,0,0,0
"bootstrap, basic method",30,0,0,0,0
"bootstrap, bca method",30,0,0,0,0
z-test,31,0,0,0,0
"t-test, equal var = true",31,0,0,0,0
"t-test, equal var = false",31,0,0,0,0
"permutation test, mean stat",31,0,0,0,0
"bootstrap, percentile method",31,0,0,0,0
"bootstrap, basic method",31,0,0,0,0
"bootstrap, bca method",31,0,0,0,0
z-test,32,0,0,0,0
"t-test, equal var = true",32,0,0,0,0
"t-test, equal var = false",32,0,0,0,0
"permutation test, mean stat",32,0,0,0,0
"bootstrap, percentile method",32,0,0,0,0
"bootstrap, basic method",32,0,0,0,0
"bootstrap, bca method",32,0,0,0,0
z-test,33,0,0,0,0
"t-test, equal var = true",33,0,0,0,0
"t-test, equal var = false",33,0,0,0,0
"permutation test, mean stat",33,0,0,0,0
"bootstrap, percentile method",33,0,0,0,0
"bootstrap, basic method",33,0,0,0,0
"bootstrap, bca method",33,0,0,0,0
z-test,34,0,0,0,0
"t-test, equal var = true",34,0,0,0,0
"t-test, equal var = false",34,0,0,0,0
"permutation test, mean stat",34,0,0,0,0
"bootstrap, percentile method",34,0,0,0,0
"bootstrap, basic method",34,0,0,0,0
"bootstrap, bca method",34,0,0,0,0
z-test,35,0,0,0,0
"t-test, equal var = true",35,0,0,0,0
"t-test, equal var = false",35,0,0,0,0
"permutation test, mean stat",35,0,0,0,0
"bootstrap, percentile method",35,0,0,0,0
"bootstrap, basic method",35,0,0,0,0
"bootstrap, bca method",35,0,0,0,0
z-test,36,0,0,0,0
"t-test, equal var = true",36,0,0,0,0
"t-test, equal var = false",36,0,0,0,0
"permutation test, mean stat",36,0,0,0,0
"bootstrap, percentile method",36,0,0,0,0
"bootstrap, basic method",36,0,0,0,0
"bootstrap, bca method",36,0,0,0,0
z-test,37,0,0,0,0
"t-test, equal var = true",37,0,0,0,0
"t-test, equal var = false",37,0,0,0,0
"permutation test, mean stat",37,0,0,0,0
"bootstrap, percentile method",37,0,0,0,0
"bootstrap, basic method",37,0,0,0,0
"bootstrap, bca method",37,0,0,0,0
z-test,38,0,0,0,1
"t-test, equal var = true",38,0,0,0,1
"t-test, equal var = false",38,0,0,0,1
"permutation test, mean stat",38,0,0,0,1
"bootstrap, percentile method",38,0,0,0,1
"bootstrap, basic method",38,0,0,0,1
"bootstrap, bca method",38,0,0,0,1
z-test,39,0,0,0,1
"t-test, equal var = true",39,0,0,0,1
"t-test, equal var = false",39,0,0,0,1
"permutation test, mean stat",39,0,0,0,1
"bootstrap, percentile method",39,0,0,0,0
"bootstrap, basic method",39,0,0,0,1
"bootstrap, bca method",39,0,0,0,0
z-test,40,0,0,0,0
"t-test, equal var = true",40,0,0,0,0
"t-test, equal var = false",40,0,0,0,0
"permutation test, mean stat",40,0,0,0,0
"bootstrap, percentile method",40,0,0,0,0
"bootstrap, basic method",40,0,0,0,0
"bootstrap, bca method",40,0,0,0,0
z-test,41,0,0,0,0
"t-test, equal var = true",41,0,0,0,0
"t-test, equal var = false",41,0,0,0,0
"permutation test, mean stat",41,0,0,0,0
"bootstrap, percentile method",41,0,0,0,0
"bootstrap, basic method",41,0,0,0,0
"bootstrap, bca method",41,0,0,0,0
z-test,42,0,0,0,0
"t-test, equal var = true",42,0,0,0,0
"t-test, equal var = false",42,0,0,0,0
"permutation test, mean stat",42,0,0,0,0
"bootstrap, percentile method",42,0,0,0,0
"bootstrap, basic method",42,0,0,0,0
"bootstrap, bca method",42,0,0,0,0
z-test,43,0,0,0,0
"t-test, equal var = true",43,0,0,0,0
"t-test, equal var = false",43,0,0,0,0
"permutation test, mean stat",43,0,0,0,0
"bootstrap, percentile method",43,0,0,0,0
"bootstrap, basic method",43,0,0,0,0
"bootstrap, bca method",43,0,0,0,0
z-test,44,0,0,0,0
"t-test, equal var = true",44,0,0,0,0
"t-test, equal var = false",44,0,0,0,0
"permutation test, mean stat",44,0,0,0,0
"bootstrap, percentile method",44,0,0,0,0
"bootstrap, basic method",44,0,0,0,0
"bootstrap, bca method",44,0,0,0,0
z-test,45,0,0,0,0
"t-test, equal var = true",45,0,0,0,0
"t-test, equal var = false",45,0,0,0,0
"permutation test, mean stat",45,0,0,0,0
"bootstrap, percentile method",45,0,0,0,0
"bootstrap, basic method",45,0,0,0,0
"bootstrap, bca method",45,0,0,0,0
z-test,46,0,0,0,0
"t-test, equal var = true",46,0,0,0,0
"t-test, equal var = false",46,0,0,0,0
"permutation test, mean stat",46,0,0,0,0
"bootstrap, percentile method",46,0,0,0,0
"bootstrap, basic method",46,0,0,0,0
"bootstrap, bca method",46,0,0,0,0
z-test,47,0,0,0,0
"t-test, equal var = true",47,0,0,0,0
"t-test, equal var = false",47,0,0,0,0
"permutation test, mean stat",47,0,0,0,0
"bootstrap, percentile method",47,0,0,0,0
"bootstrap, basic method",47,0,0,0,0
"bootstrap, bca method",47,0,0,0,0
z-test,48,0,0,0,0
"t-test, equal var = true",48,0,0,0,0
"t-test, equal var = false",48,0,0,0,0
"permutation test, mean stat",48,0,0,0,0
"bootstrap, percentile method",48,0,0,0,0
"bootstrap, basic method",48,0,0,0,0
"bootstrap, bca method",48,0,0,0,0
z-test,49,0,0,0,0
"t-test, equal var = true",49,0,0,0,0
"t-test, equal var = false",49,0,0,0,0
"permutation test, mean stat",49,0,0,0,0
"bootstrap, percentile method",49,0,0,0,0
"bootstrap, basic method",49,0,0,0,0
"bootstrap, bca method",49,0,0,0,0
z-test,50,0,0,0,0
"t-test, equal var = true",50,0,0,0,0
"t-test, equal var = false",50,0,0,0,0
"permutation test, mean stat",50,0,0,0,0
"bootstrap, percentile method",50,0,0,0,0
"bootstrap, basic method",50,0,0,0,0
"bootstrap, bca method",50,0,0,0,0
z-test,51,0,0,0,0
"t-test, equal var = true",51,0,0,0,0
"t-test, equal var = false",51,0,0,0,0
"permutation test, mean stat",51,0,0,0,0
"bootstrap, percentile method",51,0,0,0,0
"bootstrap, basic method",51,0,0,0,0
"bootstrap, bca method",51,0,0,0,0
z-test,52,0,1,1,1
"t-test, equal var = true",52,0,1,1,1
"t-test, equal var = false",52,0,1,1,1
"permutation test, mean stat",52,0,1,1,1
"bootstrap, percentile method",52,1,1,1,1
"bootstrap, basic method",52,0,1,1,1
"bootstrap, bca method",52,0,1,1,1
z-test,53,0,0,0,0
"t-test, equal var = true",53,0,0,0,0
"t-test, equal var = false",53,0,0,0,0
"permutation test, mean stat",53,0,0,0,0
"bootstrap, percentile method",53,0,0,0,0
"bootstrap, basic method",53,0,0,0,0
"bootstrap, bca method",53,0,0,0,0
z-test,54,0,0,0,0
"t-test, equal var = true",54,0,0,0,0
"t-test, equal var = false",54,0,0,0,0
"permutation test, mean stat",54,0,0,0,0
"bootstrap, percentile method",54,0,0,0,0
"bootstrap, basic method",54,0,0,0,0
"bootstrap, bca method",54,0,0,0,0
z-test,55,0,0,0,0
"t-test, equal var = true",55,0,0,0,0
"t-test, equal var = false",55,0,0,0,0
"permutation test, mean stat",55,0,0,0,0
"bootstrap, percentile method",55,0,0,0,0
"bootstrap, basic method",55,0,0,0,0
"bootstrap, bca method",55,0,0,0,0
z-test,56,0,0,0,0
"t-test, equal var = true",56,0,0,0,0
"t-test, equal var = false",56,0,0,0,0
"permutation test, mean stat",56,0,0,0,0
"bootstrap, percentile method",56,0,0,0,0
"bootstrap, basic method",56,0,0,0,0
"bootstrap, bca method",56,0,0,0,0
z-test,57,0,0,0,0
"t-test, equal var = true",57,0,0,0,0
"t-test, equal var = false",57,0,0,0,0
"permutation test, mean stat",57,0,0,0,0
"bootstrap, percentile method",57,0,0,0,0
"bootstrap, basic method",57,0,0,0,0
"bootstrap, bca method",57,0,0,0,0
z-test,58,0,0,0,0
"t-test, equal var = true",58,0,0,0,0
"t-test, equal var = false",58,0,0,0,0
"permutation test, mean stat",58,0,0,0,0
"bootstrap, percentile method",58,0,0,0,0
"bootstrap, basic method",58,0,0,0,0
"bootstrap, bca method",58,0,0,0,0
z-test,59,0,0,0,0
"t-test, equal var = true",59,0,0,0,0
"t-test, equal var = false",59,0,0,0,0
"permutation test, mean stat",59,0,0,0,0
"bootstrap, percentile method",59,0,0,0,0
"bootstrap, basic method",59,0,0,0,0
"bootstrap, bca method",59,0,0,0,0
z-test,60,0,0,0,1
